seem,vi. 似乎；像是；装作
run into,"na. 冲进；(河)注入(海)；撞上；到达
 偶遇；跑进；陷入"
run out,"na. 耗尽；用光；过有效期；失效
 用完；用尽；到期"
run out of,"na. 用光…
 用完；用尽；耗尽"
run over,"v. 轧过；碾过；演练；排练
 辗过；溢出；浏览"
run through,"na. 穿过；匆匆忙忙看一遍；不间断地排练；花光
 贯穿；浏览；跑着穿过"
for the sake of,"adv. 为了…起见
 为了…的利益；为了…的目的；为了…的缘故"
on sale,"na. 出售的；上市的；出售(的)；廉价出售(的)
 减价；打折；大减价"
all the same,"na. 依然；“all/just the same”的变体
 仍然；还是；尽管如此"
the same as,"adj. 与…同样
 与…相同；与…一样；和……相同"
on a large scale,"na. 大规模地
 大规模的；大批量；大量"
on a small scale,"na. 小规模地
 小规模的；小范围内；在很小程度上"
on schedule,"na. 按时；按时间表；按照预定计划
 准时；按预定时间；正点"
scrape through,"na. 好容易完成；(考试)勉强及格；勉强对付过去；勉强通过
 擦过；勉强度过；勉强取得进入的资格"
see about,"na. 注意；查看；查询；留意于
 考虑；料理；负责处理"
see off,"na. 送行；送别；告别；赶走
 给…送行；为…送行；给某人送行"
see through,"na. 看穿；看透；识破；办好某事
 看破；看穿某人；帮助渡过难关"
see to,"na. 注意；留心；当心；检查
 负责；照料；留意"
see to it that, 保证；务必；务必要
send for,"na. 派人去叫；遣人去拿；乞求
 派人去请；派人去请，召唤；派人去拿"
send in,"na. 拿出；提出；递(名片)；送
 送来；呈报；提交"
send off,"na. 寄出；发出；送走；打发
 为…送行；给……送行；送别"
come to one's senses,"na. 恢复理性；恢复知觉；苏醒过来；醒悟过来
 恢复理智；不再做傻事；固定用法恢复知觉"
in a sense,"na. 在某种意义上；有一点儿
 从某种意义上说；就某种意义来说；就某种意义而言"
make sense,"na. (话等)有意义；合理；有道理；讲得通
 言之有理；使…有意义；好理解"
a series of,"na. 一系列；许多
 一连串；一连串的；一系列的"
set about,"na. 动手；开始；下手；着手
 散布；着手做某事；开始做"
set apart,"na. 分开；分离；留出(充当别用)
 使显得突出；拨出；使分离"
set aside,"na. 搁置；拨出；驳回
 留出；取消；挑出，留出"
set back,"na. 阻碍；延迟；花费
 推迟；推迟，延缓；使退步"
set down,"na. 记入；登记；定；设
 记下；放下；写下"
set off,"na. 分；分割；划开；区划
 出发；动身；引起"
set out,"n. 开始；出发；动身；准备
 陈列；着手；陈述"
set up,"na. 建立；创立；发起；开办
 设立；设置；成立"
settle down,"na. 定居；成家；移居；平静下来
 安下心来；安定下来；安顿下来"
shake off,"na. 抛弃(坏习惯)；摆脱(坏朋友)；推开；拆开
 抖落；撵走；试图摆脱"
in short,"na. 简单地说；总之
 简言之；简而言之；总而言之"
show off,"na. 卖弄；自以为是；趾高气扬；炫耀
 出风头；摆谱儿；使显眼"
show up,"na. 显眼；揭发；嘲笑；露面
 出现；出席；揭露"
shrug off,"na. (耸肩)表示轻蔑；摆脱；扭身脱掉(衣服)
 耸肩表示对…不屑理睬；对…不屑一顾；对……满不在乎"
on the side,"na. 顺便；作为副业；略略添上
 作为兼职；暗地里；作为兼职或副业"
side by side,"na. 并排着
 肩并肩；肩并肩地；朗文国际英语教程"
at first sight,"na. 乍看；一见就；乍看起来
 乍一看；初看起来；真情难舍"
catch sight of,"na. 看出
 发现；看见；看到"
in sight,"na. 看得见；“in/within sight”的变体
 在望；在视线之内；在视线内"
lose sight of,"na. 看不见了…；忘了…；失踪了
 忽略；忘记；不再看见"
out of sight,"adv. 无影无踪
 看不见；战略高手；在视野之外"
slow down,"na. 闲下来；减缓；放慢速度；减速
 慢下来；慢点；慢驶"
slow up,"na. 减缓；“slow down”的变体
 慢下来；减速；放慢速度，减速"
and so on,"na. “And so forth”的变体
 等等；诸如此类；如此等等"
and so forth,"na. 等等；云云；“and so on/forth”的变体
 如此等等；诸如此类；诸如此类，如此等等"
ever so,"na. 非常；大大；“ever so/ever such ”的变体
 极其；即使如此；很"
or so,"un. 与其说…不如说…；大约
 左右；上下；大概"
as soon as,"na. 一…就；见 soon 条
 一……就；一怎么样就怎么样；一经"
no sooner than, 一……就；不早于；刚…就
sooner or later,"na. 迟早；早晚
 迟早会的；或迟或早；迟早有一天"
in spite of,"na. spite of 不管；无视
 尽管；不顾；虽然"
on the spot,"na. 当场；立刻；用现货；(人)准备妥当
 在现场；在场；马上"
spring up,"na. 跳上来；发生；萌芽；出现
 涌现；迅速生长；突然出现"
stand by,"na. 袖手旁观；站在旁边；待机；等待
 支持；待命；站在一边"
stand for,"na. 忍耐；忍受；主张；拥护
 代表；象征；代替"
stand out,"na. 突出；显著；不参加战争；抵抗到底
 显眼；引人注目；站出来"
stand up,"na. 站起来；持久；露头角；背约
 起立；我挺你；站得住脚"
stand up for,"na. 拥护
 支持；维护；坚持"
stand up to,"na. 抵抗；反抗；反对；经得起
 勇敢地面对；勇敢面对；顶得住"
in step,"na. 齐步；“in/into step”的变体
 合拍；同步；步调一致"
step by step,"na. 一步一步；切切实实
 逐步地；循序渐进；一步一步地"
step up,"v. 加紧；走上前；登上；增加
 舞出我人生；提高；舞出真我"
stick to,"na. 忠于
 坚持；粘住；遵守"
stir up,"v. 转播；重播；搅拌；煽动
 激起；挑起；引起"
in sum,"na. 总之
 总而言之；大体上；一言以蔽之"
sum up,"na. 概括；总结
 总计；归纳；总括"
make sure,"na. 尽力做到；深信；务必；务请
 确保；查明；确信"
switch off,"na. 不收听(某一广播)
 关掉；切断；关闭"
switch on,"v. 打开；接通；参见
 开启；合闸；打开开关"
take after,"na. 尾随；仿效；像
 象；长得像；与相像"
take apart,"na. 分解；拆分；剖析
 拆开；拆卸；卸开"
take away,"adj. 买回去的
 拿走；带走；外带"
take down,"na. 扯下；卷起；记下；卸下
 拿下；取下；拆卸"
take for,"na. 认为；当做；弄错
 误认为；误以为；当作"
take in,"na. 加以考虑；访问；收进；收容
 欺骗；吸收；接受"
take off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
 承担；雇用；雇佣"
take over,"na. 接管；继承
 接收；接任；接替"
take to,"na. 嗜好；开始；参加；逃入
 喜欢；从事；喜爱"
take up,"na. 拿起；举起；拾起；给搭(火车等)
 占据；从事；开始"
in tears,"na. 流着泪
 含泪；在哭着；含着泪"
lose one's temper,"na. 发脾气；发怒
 发火；动怒；生气"
thanks to,"v. 感谢；幸亏；多亏
 由于；多亏了；归功于"
that is,"na. 即；用于纠正之前说过的内容
 也就是说；那是；那就是说"
for one thing,"na. 第一；原因之一是
 首先；一则；一方面"
think better of,"na. 经考虑后决定不做(某事)；对…有较高评价
 重新考虑；改变主意；转念"
think of,"na. 想起
 考虑；认为；想到"
think of ... as,找不到解释
think over,"v. 仔细考虑
 仔细思考；仔细考虑一下；再三考虑"
on second thought,"adv. 经过重新考虑
 转念一想；进一步考虑后；再三考虑"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
 扔掉；丢弃；丢掉"
throw up,"na. 呕吐；抛上；急造；丢弃
 吐出；抛起；举起"
ahead of time,"na. 比原定提前地
 提早；事先；预先"
all the time,"na. 始终；老是
 一直；总是；无时无刻"
at a time,"na. 一次(多少)；同时；曾经；连续
 每次；一下子；每一次"
at all times,"na. 不论什么时候；老是；时时
 总是；随时；一直"
at no time,"na. 从来没有
 决不；在任何时候都不；从不"
at one time,"na. 同时；曾经
 一度；过去一度；以前曾经"
at the same time,"na. 同时；另一方面；与此同时
 然而；在同时；可是"
at times,"na. 时时
 有时；有时候；时常"
for the time being,"na. 暂时；一时；临时；在目前
 暂且；眼下；now暂且，就现在来说"
from time to time,"na. 时时
 有时；不时；不时地"
in no time,"na. 立刻
 马上；很快；立即"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
 及时；钟点战；时间规划局"
on time,"na. 按时；及时
 准时；正点；准时地"
once upon a time,"na. 从前；很久很久以前；古时候
 童话镇；曾经；童话小镇"
take one's time,"na. 从容
 慢慢来；从容不迫；不急"
in touch,"adv. 在…能达到的地方
 接触；联系；联系，接触"
out of touch,"adj. 失去联络
 失去联系；不联系；不接触"
touch on,"na. 说到
 涉及；提及；谈及"
try on,"na. 试穿；搞恶作剧(以试探能否被容忍)；耍花招
 试试看；试穿衣物；试衣服"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
 试用；尝试；考验"
tune in,"na. 调谐；收听；开始
 收看；调入；调准"
tune to, 调准；调谐到
in turn,"na. 挨次
 依次；轮流；反过来"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
 关小；调低；驳回"
turn in,"v. 向里弯曲
 上交；上床睡觉；交出"
turn off,"v. 关掉
 关上；关闭；解雇"
turn on,"na. 转向；对…进行突击
 打开；接通；开启"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
turn over,"na. ￡ 500 a week 每星期卖得五百镑
 移交；翻转；翻过来"
turn to,"v. 向(某人)求助；求助于
 转向；变成；翻到"
turn up,"v. 朝上翻；出现
 开大；找到；露面"
up to,"na. 干(着)；到；胜任；…的责任
 直到；多达；取决于"
make use of,"na. 使用
 利用；利用某事物；利用好时间"
put to use,"na. 用
 利用；使用；运用"
use up,"na. 用完；耗尽
 用光；用尽；消耗"
in vain,"na. 无益地；轻慢地
 徒劳；徒然；白白地"
by virtue of,"na. 靠
 由于；凭借；因"
wait on,"v. 等着
 服侍；侍候；伺候"
warm up,"na. 加热；变暖；热中起来；作准备动作
 热身；暖身；热身运动"
wash up,"na. 饭后洗碗；洗脸；将…冲上岸；(出人意料地)出现
 洗餐具；洗手洗脸；洗涤餐具"
watch out,"na. 当心；留神；小心；提防
 注意；密切注视；监视"
watch out for,"v. 期待；等待
 留意；密切注意；警惕"
by the way,"na. 见 way 条
 顺便说一句；顺便问一下；顺便说一下"
by way of,"na. 当做；作出…的样子；经由；以便
 通过…方式；取道；经过"
give way,"na. 倒塌；忍不住…了出来；划起来；(价格)跌落
 让路；让步；屈服"
in a way,"na. 在某一点上
 在某种程度上；从某种程度上说；在某点"
in no way,"na. 决不
 一点也不；绝不；无论如何不"
in the way,"na. 在路上；妨碍
 挡道；挡路；妨碍人的"
lead the way,"na. 领路
 带路；引路；引路，带路"
make one's way,"na. 前往；发迹
 前进；行进；走去"
make way,"na. 进步
 让路；开路；腾出地方或位置"
under way,"na. 进行着；航行中
 在进行中；正在进行之中；正在进行中"
wear off,"na. (精力)衰退；(衣服等)渐破
 逐渐消失；磨损；渐渐减少"
wear out,"na. 精疲力尽；用坏；穿破；磨破
 磨损；穿坏；穿旧"
as well,"na. 也；同样
 又；还；也倒不如"
as well as,"na. 和…一样；…不用说
 也；既…又；和...一样"
may as well,"na. “may well”的变体
 不妨；最好；还不如"
what about,"un. 不；…怎样
 怎么样；如何；怎麽样"
what if,"v. 应如何
 如果；如果…将会怎样；如果…将会怎么样"
whether ... or,找不到解释
