accustom,vt. 使习惯于
admirable,adj. 令人钦佩的；极好的；值得赞扬的
aesthetics,n. 美学；美的哲学
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
angel,"n. 天使；守护神；善人
vt. 出钱支持"
anthem,"n. 赞美诗；圣歌
vt. 唱圣歌庆祝；唱赞歌"
architect,"n. 建筑师
缔造者"
architecture,n. 建筑学；建筑风格；建筑式样；架构
archway,n. 拱门；拱道
autobiographic,adj. 自传的，自传式的，自传作家的
autobiographical,adj. 自传的；自传体的；自传作家的
autobiography,n. 自传；自传文学
axiom,n.  公理；格言；自明之理
bestseller,n. 畅销书；畅销书作者；畅销商品（等于best seller）
biography,n. 传记；档案；个人简介
biographical,adj. 传记的，传记体的
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别"
calligraphy,n. 书法；笔迹
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
chord,n. 弦；和弦；香水的基调
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
conservatism,n. 保守主义；守旧性
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
creative,adj. 创造性的
creativity,n. 创造力；创造性
designer,"n. 设计师；谋划者
adj. 由设计师专门设计的；享有盛名的；赶时髦的"
dignified,"adj. 庄严的；有尊严的；高贵的
v. 使高贵（dignify的过去式）"
drummer,n. 鼓手；旅行推销员；跑街
edit,"vt. 编辑；校订
n. 编辑工作"
emerald,"n. 绿宝石； 祖母绿；翠绿色
adj. 翠绿色的"
encyclopedia,n. 百科全书（亦是encyclopaedia）
encyclopaedia,n. 百科全书
ending,n. 结局；结尾
epic,"n. 史诗；叙事诗；史诗般的作品
adj. 史诗的，叙事诗的"
fable,"n. 寓言；无稽之谈
vt. 煞有介事地讲述；虚构
vi. 编寓言；虚构"
fairy,"n. 仙女，小精灵；漂亮姑娘
adj. 虚构的；仙女的"
fiction,n. 小说；虚构，编造；谎言
flute,"n. 长笛；(刀具的)出屑槽
vt. 用长笛吹奏
vi. 吹长笛"
foreword,n. 序；前言
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
heroine,n. 女主角；女英雄；女杰出人物
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
humour,"n. 幽默（等于humor）；诙谐
vt. 迁就；使满足"
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
humourous,"a. 富幽默感的, 滑稽的"
idiom,n. 成语，习语；土话
idiomatic,adj. 惯用的；符合语言习惯的；通顺的
illusion,n. 幻觉，错觉；错误的观念或信仰
imaginable,adj. 可能的；可想像的
imaginary,adj. 虚构的，假想的；想像的；虚数的
imagination,n.  想象力；空想；幻想物
inscribe,vt. 题写；题献；铭记；雕
inscription,n. 题词；铭文；刻印
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
ironical,adj. 讽刺的（等于ironic）；用反语的
ironically,adv. 讽刺地；说反话地
legend,n. 传奇；说明；图例；刻印文字
literary,adj. 文学的；书面的；精通文学的
literature,n. 文学；文献；文艺；著作
mainstream,n. 主流
masterpiece,n. 杰作；绝无仅有的人
memoir,n. 回忆录；研究报告；自传；实录
metaphor,n. 暗喻，隐喻；比喻说法
monologue,n. 独白
motto,n. 座右铭，格言；箴言
musician,n. 音乐家
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
myth,n. 神话；虚构的人，虚构的事
mythical,adj. 神话的；虚构的
narration,n. 叙述，讲述；故事
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
narrator,n. 叙述者；解说员
omission,n. 疏忽，遗漏；省略；冗长
opera,n. 歌剧；歌剧院；歌剧团
orchestra,n. 管弦乐队；乐队演奏处
oriental,"adj. 东方的；东方人的
n. 东方人"
photography,n. 摄影；摄影术
playwright,n. 剧作家
poetic,"n. 诗学，诗论
adj. 诗的，诗歌的；诗意的；诗人的"
porcelain,"n. 瓷；瓷器
adj. 瓷制的；精美的"
pottery,n. 陶器；陶器厂；陶器制造术
preface,"n. 前言；引语
vt. 为…加序言；以…开始
vi. 作序"
prelude,"n. 前奏；序幕；前奏曲
vt. 成为…的序幕；演奏…作为前奏曲
vi. 作为序曲；奏序曲"
prop,"vt. 支撑，支持，维持；使倚靠在某物上
n. 支柱，支撑物；支持者；道具；（橄榄球中的）支柱前锋"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
puzzlement,n. 迷惑；费解
radicalism,n. 激进主义
realism,n. 现实主义；实在论；现实主义的态度和行为
realist,n. 现实主义者；实在论者
reasoning,"n. 推理；论证；评理
v. 推论；说服（reason的ing形式）
adj. 推理的"
recital,n. 朗诵，吟诵；独奏会；背诵；独唱会
renaissance,n. 文艺复兴（欧洲14至17世纪）
renowned,"v. 使有声誉（renown的过去分词）
adj. 著名的；有声望的"
reputation,n. 名声，名誉；声望
resonance,n.  共振；共鸣；反响
rhetoric,"n. 修辞，修辞学；华丽的词藻
adj. 花言巧语的"
rhetorical,adj. 修辞的；修辞学的；夸张的
rhyme,"n. 韵律；韵脚；韵文；押韵词
vt. 使押韵；用韵诗表达；把…写作诗
vi. 押韵；作押韵诗"
rhythm,n. 节奏；韵律
rhythmic,"n. 韵律论（等于rhythmics）
adj.  有节奏的（等于rhythmical）；间歇的；合拍的"
rhythmical,adj. 有节奏的；有韵律的
romance,"n. 传奇；浪漫史；风流韵事；冒险故事
vi. 虚构；渲染；写传奇"
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
romanticism,n. 浪漫主义；浪漫精神
satirise,vt. 讽刺，讥讽
satirize,"vt. 讽刺；挖苦
vi. 写讽刺作品"
satirist,n. 讽刺作家；爱挖苦的人
saying,"n. 话；谚语；言论
v. 说（say的ing形式）"
scepticism,n. 怀疑；怀疑论；怀疑主义
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
scriptwriter,n. 编剧
scroll,"n. 卷轴，画卷；名册；卷形物
vi. 成卷形
vt. 使成卷形"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
sculptor,n. 雕刻家
serial,"n. 电视连续剧； 期刊；连载小说
adj. 连续的；连载的；分期偿还的"
simile,n. 明喻；直喻
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
subtitle,"n. 副标题；说明或对白的字幕
vt. 在…上印字幕；给…加副标题"
suffix,"n. 后缀；下标
vt. 添后缀"
suspense,n. 悬念；悬疑；焦虑；悬而不决
syllable,"n. 音节
vt. 划分音节
vi. 按音节发音；讲话"
symphony,n. 交响乐；谐声，和声
symphonic,adj. 交响乐的；交响性的；和声的
theatrical,adj. 戏剧性的；剧场的，戏剧的；夸张的；做作的
trio,n. 三重唱；三件一套；三个一组
trombone,n. 长号，伸缩喇叭
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
version,n. 版本；译文；倒转术
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
watercolor,"n. 水彩画，水彩；水彩颜料
adj. 水彩的，水彩画的"
weekly,"n. 周刊
adj. 每周的；周刊的；一周一次的
adv. 每周一次；逐周"
writer,n. 作家；作者
writing,"n. 书写；作品；著作； 笔迹
v. 书写（write的ing形式）"
baptize,"vt. 给…施浸礼；命名；使经受考验（等于baptise）
vi. 施行洗礼（等于baptise）"
belief,n. 相信，信赖；信仰；教义
bless,vt. 祝福；保佑；赞美
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
convention,n. 大会； 惯例； 约定； 协定；习俗
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
creed,n. 信条，教义
doctrine,n. 主义；学说；教义；信条
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
ethnic,adj. 种族的；人种的
fidelity,n. 保真度；忠诚；精确；尽责
foretell,"vt. 预言；预示；预告
vi. 预言；预示；预告"
hereditary,"n. 遗传类
adj. 遗传的；世袭的；世代相传的"
heritage,n. 遗产；传统；继承物；继承权
holy,"n. 神圣的东西
adj. 圣洁的，神圣的；至善的
（俚）太棒了"
humanity,n. 人类；人道；仁慈；人文学科
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
kowtow,"vi. 叩头；卑躬屈膝
n. 叩头"
legacy,n. 遗赠，遗产
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
immemorial,adj. 远古的，古老的；无法追忆的
origin,n. 起源；原点；出身；开端
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
originally,adv. 最初，起初；本来
aboriginal,"n. 土著居民；土生生物
adj. 土著的；原始的"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
persecute,vt. 迫害；困扰；同…捣乱
pious,adj. 虔诚的；敬神的；可嘉的；尽责的
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
rarity,n. 罕见；珍贵；珍品（需用复数）；稀薄
rarely,adv. 很少地；难得；罕有地
reside,vi. 住，居住；属于
resident,"n. 居民；住院医生
adj. 居住的；定居的"
retain,vt. 保持；雇；记住
rural,adj. 农村的，乡下的；田园的，有乡村风味的
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
savage,"n. 未开化的人；粗鲁的人；残暴成性的人
adj. 野蛮的；残酷的；狂怒的；荒凉的
vt. 乱咬；粗暴的对待"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
scattered,adj. 分散的；散乱的
selection,n. 选择，挑选；选集；精选品
selective,"adj. 选择性的
讲究的
有选择地
有选择性地
仔细挑选地"
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
superstition,n. 迷信
suppress,vt. 抑制；镇压；废止
symbolise,vt. 象征，代表（等于symbolize）
symbolize,"vt. 象征；用符号表现
vi. 采用象征；使用符号；作为…的象征"
unconditional,adj. 无条件的；绝对的；无限制的
unearth,vt. 发掘；揭露，发现；从洞中赶出
unfold,"vi. 展开；显露
vt. 打开；呈现"
virtue,n. 美德；优点；贞操；功效
altar,n. 祭坛；圣坛；圣餐台
ancestor,n. 始祖，祖先；被继承人
ancestral,adj. 祖先的；祖传的
ancestry,n. 祖先；血统
anecdote,n. 轶事；奇闻；秘史
anniversary,n. 周年纪念日
archbishop,n. 大主教；总教主
arena,n. 舞台；竞技场
baptism,n. 洗礼；严峻考验
barbarian,"n. 野蛮人
adj. 野蛮的；未开化的"
bishop,n. （基督教的）主教；（国际象棋的）象
burial,"n. 埋葬；葬礼；弃绝
adj. 埋葬的"
carnival,n. 狂欢节，嘉年华会；饮宴狂欢
carol,"n. 颂歌，赞美诗；欢乐之歌
vi. 欢乐地歌唱；唱耶诞颂歌
vt. 欢唱；歌颂"
catholic,"n. 天主教徒；罗马天主教
adj. 天主教的；宽宏大量的"
cemetery,n. 墓地；公墓
christ,找不到解释
churchyard,n. 境内；教堂院落，多做墓地
clan,n. 宗族；部落；集团
clergy,n. 神职人员；牧师；僧侣
coffin,"n. 棺材
断送"
commandment,n. 戒律；法令
concubine,n. 妾；情妇；姘妇
conventional,adj. 符合习俗的，传统的；常见的；惯例的
cowboy,n. 牛仔；牧童；莽撞的人
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
customary,"n. 习惯法汇编
adj. 习惯的；通常的"
descent,"n. 下降；血统；袭击
vt. 除去…的气味；使…失去香味"
destiny,n. 命运，定数，天命
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
disciple,n. 门徒，信徒；弟子
dye,"n. 染料；染色
vt. 染；把…染上颜色
vi. 被染色"
earthly,adj. 地球的；尘世的；可能的
embroider,"vt. 刺绣；装饰；镶边
vi. 绣花；刺绣"
embroidery,n. 刺绣；刺绣品；粉饰
engrave,vt. 雕刻；铭记
eve,n. 前夕；傍晚；重大事件关头
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
fate,"n. 命运
vt. 注定"
ghost,"n. 鬼，幽灵
vt. 作祟于；替…捉刀；为人代笔
vi. 替人代笔"
handicraft,n. 手工艺；手工艺品
heathen,"n. 异教徒；粗野的人
adj. 异教的；野蛮的"
hell,"n. 地狱；究竟（作加强语气词）；训斥；黑暗势力
vi. 过放荡生活；飞驰
int. 该死；见鬼（表示惊奇、烦恼、厌恶、恼怒、失望等）"
hermit,n. （尤指宗教原因的）隐士；隐居者
hymn,"n. 赞美诗；圣歌；欢乐的歌
vt. 唱赞美歌
vi. 唱赞歌"
idol,n. 偶像，崇拜物；幻象；谬论
institutional,"adj. 制度的；制度上的
学会的；由来已久的； 习以为常的
公共机构的； 慈善机构的"
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
missionary,"adj. 传教的；传教士的
n. 传教士"
monastery,n. 修道院；僧侣
monk,n. 僧侣，修道士；和尚
orthodox,"adj. 正统的；传统的；惯常的；东正教的
n. 正统的人；正统的事物"
paradise,"n. 天堂
至福境地"
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
priest,"n. 牧师；神父；教士
vt. 使成为神职人员；任命…为祭司"
prophet,n. 先知；预言者；提倡者
puritan,"n. 清教徒
adj. 清教徒的"
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
