orderly,"adj. 有秩序的；整齐的；值班的
n. 勤务兵；传令兵；护理员
adv. 顺序地；依次地"
paleographer,n. 古文书学家
pictorial,"n. 画报；画刊
adj. 绘画的；形象化的"
predominate,"vt. 支配，主宰；在…中占优势
vi. 占主导（或支配）地位；占优势"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
prognostication,n. 预测；预言；预兆
rectangular,adj. 矩形的；成直角的
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
resemblance,n. 相似；相似之处；相似物；肖像
retouch,"n. 润饰；修整部分
vt. 润饰；修整
vi. 润饰；修整"
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
simplified,"adj. 简化了的
vt. 简化（simplify的过去式）；精简"
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
stylized,"adj. 程式化的；按固定格式的
v. 风格化；仿效…的风格（stylize的过去式和过去分词）"
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
tortoise,n. 龟， 乌龟（等于testudo）；迟缓的人
