mysterious,adj. 神秘的；不可思议的；难解的
yearn,vi. 渴望，向往；思念，想念；怀念；同情，怜悯
yoke,"n. 轭；束缚；牛轭
vt. 结合；给…上轭
vi. 结合；匹配"
zeal,n. 热情；热心；热诚
zebra,"n.  斑马
adj. 有斑纹的"
zenith,"n. 顶峰；顶点；最高点
n. 真力时（瑞士名表）"
zip,"n. 拉链; 精力，活力; 尖啸声; 一种程序压缩格式
vt. 给予…速度; 用拉链拉上或扣上
vt.& vi. 尖啸而过; （使沿某方向）快速移动"
zoom,"vi. 嗡嗡作响; 急速上升
n. 嗡嗡声; 隆隆声; （车辆等）疾驰的声音; 变焦
vt. 使急速上升; 使猛增"
abbreviate,"vt. 缩写，使省略；使简短
vi. 使用缩写词"
abbreviation,n. 缩写；缩写词
abstention,n. 弃权；节制；戒绝
ace,"n. 幺点；直接得分的发球；佼佼者；（俚）最好的朋友
adj. 一流的，突出的
vt. 以发球赢一分；击败
int. 太棒了；太好了"
acme,n. 顶点，极点；最高点
acoustic,"n. 原声乐器；不用电传音的乐器
adj. 声学的；音响的；听觉的"
acrobatics,n. 杂技；巧妙手法
activist,n. 积极分子；激进主义分子
additive,"n. 添加剂，添加物
adj. 附加的； 加法的"
adherence,n. 坚持；依附；忠诚
adhesive,"n. 粘合剂；胶黏剂
adj. 粘着的；带粘性的"
admiral,n. 海军上将；舰队司令；旗舰
adversary,n. 对手；敌手
aeronautics,n. 航空学；飞行术
aerospace,n. 航空宇宙； 航空航天空间
afar,adv. 遥远地；在远处
aide,n. 助手；副官；侍从武官
ailing,"adj. 生病的，身体不舒服的；体衰的
v. 生病；苦恼（ail的ing形式）"
akin,adj. 类似的；同类的；同族的
alcoholic,"n. 酒鬼，酗酒者
adj. 酒精的，含酒精的"
align,"vt. 使结盟；使成一行；匹配
vi. 排列；排成一行"
allergic,adj. 对…过敏的；对…极讨厌的
allergy,n. 过敏症；反感；厌恶
alley,n. 小巷；小路；小径
almighty,"n. 全能的神
adj. 全能的；有无限权力的
adv. 非常"
altar,n. 祭坛；圣坛；圣餐台
ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
ambush,"n. 埋伏，伏击；伏兵
vt. 埋伏，伏击
vi. 埋伏"
amends,"n. 赔偿；赔罪
v. 修订（amend的第三人称单数）；改进"
amnesty,"n. 大赦，特赦
vt. 对…实行大赦"
ampere,n. 安培（计算电流强度的标准单位）
amphibian,"n.  两栖动物；水陆两用飞机；具有双重性格的人
adj. 两栖类的； 水陆两用的；具有双重性格的"
amplification,n.  放大（率）；扩大；详述
anabolism,n.  合成代谢；同化，同化作用
anarchist,"n. 无政府主义者
无政府主义的"
anatomy,n. 解剖；解剖学；剖析；骨骼
ancestral,adj. 祖先的；祖传的
ancestry,n. 祖先；血统
animation,n. 活泼，生气；激励；卡通片绘制
announcer,n.  广播员；宣告者
anthem,"n. 赞美诗；圣歌
vt. 唱圣歌庆祝；唱赞歌"
anthropologist,n. 人类学家；人类学者
antibody,n.  抗体
antigen,n.  抗原
antivirus,n. 反病毒程序；抗病毒素
antonym,n.  反义词
apron,"n. 围裙； 停机坪；舞台口
vt. 着围裙于；围绕"
aquatic,"n. 水上运动；水生植物或动物
adj. 水生的；水栖的；在水中或水面进行的"
arbor,n.  乔木；凉亭；藤架
archaeology,"n. 考古学
考古学的"
architectural,adj. 建筑学的；建筑上的；符合建筑法的
argumentation,n. 论证；争论；辩论
aristocracy,n. 贵族；贵族统治；上层社会；贵族政治
aristocrat,n. 贵族
armament,n. 武器；军备
arrogance,n. 自大；傲慢态度
arson,n. 纵火；纵火罪
ass,n. 屁股；驴子；蠢人
asthma,n.  哮喘，气喘
astray,"adj. 迷路的；离开正道的；不对头的
adv. 误入歧途地；迷途地；迷路"
asylum,n. 庇护；收容所，救济院
ataractic,"n. 镇静剂，安定药
adj. 镇静剂的"
attache,n. 专员，公使；使馆随员；大使馆专员
attachment,n. 附件；依恋；连接物；扣押财产
attic,n. 阁楼；顶楼；鼓室上的隐窝
attrition,n. 摩擦；磨损；消耗
auctioneer,"n. 拍卖商
vt. 拍卖"
auditory,"n. 听众；礼堂
adj. 听觉的；耳朵的"
authoritarian,"n. 权力主义者；独裁主义者
adj. 独裁主义的；权力主义的"
autobiography,n. 自传；自传文学
awfully,adv. 可怕地；十分；非常；很
babble,"vt. 含糊不清地说；泄露
vi. 喋喋不休；呀呀学语；作潺潺声
n. 含糊不清的话；胡言乱语；潺潺声"
bail,"n. 保释，保释人；保释金；杓
vt. 保释，帮助某人脱离困境；往外舀水"
bandit,n. 强盗，土匪；恶棍；敲诈者
bankruptcy,n. 破产
barge,"n. 驳船；游艇
vt. 用船运输；蛮不讲理地闯入或打扰某事物
vi. 蹒跚；闯入"
barley,n. 大麦
barometer,n.  气压计；晴雨表；显示变化的事物
barrack,"n. 营房；兵舍
vt. 使…驻兵营内；向…提供营房
vi. 住入营房"
bass,"n. 鲈鱼；男低音；低音部；椴树
adj. 低音的"
bead,"n. 珠子；滴；念珠
vt. 用珠装饰；使成串珠状
vi. 形成珠状，起泡"
beak,n.  鸟嘴；鹰钩鼻子；地方执法官；男教师
beaver,n. 海狸；海狸皮毛
beetle,"n. 甲虫；大槌
vt. 用槌打
vi. 急忙来回；突出"
bellicose,adj. 好战的；好斗的
bent,"n. 爱好，嗜好
adj. 弯曲的；决心的"
berry,"n. 浆果（葡萄，番茄等）
vi. 采集浆果"
billiard,"n. 连撞两球所得的分数
adj. 台球的；撞球用的"
billow,"vt. 使翻腾
vi. 翻腾
n. 巨浪"
bimonthly,"n. 双月刊
adj. 两月一次的；每月两次的
adv. 隔月地；一月两次地"
binoculars,n.  双筒望远镜； 双筒镜， 双目镜
blacksmith,n. 铁匠；锻工
bladder,n. 膀胱；囊状物，可充气的囊袋
blanch,"n. 铅矿石
vi. 漂白；发白；变白
vt. 漂白；使变白
adj. 漂白的；银白色的"
blessing,"n. 祝福；赐福；祷告
v. 使幸福（bless的ing形式）；使神圣化；为…祈神赐福"
blister,"n. 水泡；水疱；气泡；砂眼；起泡剂
vt. 使起水泡；痛打；猛烈抨击
vi. 起水泡"
blockade,"n. 阻塞
vt. 封锁"
blonde,"n. 白肤金发碧眼的女人
adj. 亚麻色的；金色的；白皙的；白肤金发碧眼的"
blurt,vt. 未加思索地冲口说出；突然说出
bodyguard,n. 保镖
bog,"n. 沼泽；泥塘
vt. 使陷于泥沼；使动弹不得
vi. 陷于泥沼；动弹不得"
boiler,n. 锅炉；烧水壶，热水器；盛热水器
borough,n. 区；自治的市镇
botanical,"n. 植物性药材
adj. 植物学的"
botany,n. 植物学；地区植物总称
bough,n. 大树枝
boulevard,"n.  林荫大道；（美）大马路
adj. 娱乐性的
vt. 给…提供林阴大街；把…建成林阴大街"
bouquet,n. 花束；酒香
bourgeois,"n. 资本家；九点活字；中产阶级的人；追求物质享受和社会地位者
adj. 资产阶级的；中产阶级的；贪图享受的"
bout,n. 回合；较量；发作；一阵
bracelet,n. 手镯；手链
brandish,"n. 挥舞
vt. 挥舞；炫耀"
brand-new,adj. 崭新的；最近获得的
bravo,"n. 喝彩；亡命徒
vt. 喝彩
int. 好极了"
bridegroom,n. 新郎
brigade,"n. 旅；大部队；队列
vt. 把…编成旅；把…编成队"
bristle,"n. 猪鬃；刚毛
vi. 发怒；竖起
vt. 使（毛发等）直立"
broke,"v. 打破，断掉（break的过去式）
adj. 一文不名的，破产的"
broken,"v. 折断；打碎；损坏（break的过去分词）
adj. 破碎的；坏掉的"
brothel,n. 妓院
brunt,n. 冲击；主要冲力
buckle,"n. 皮带扣，带扣
vi. 扣住；变弯曲
vt. 扣住；使弯曲"
buffalo,n.  水牛； 野牛（产于北美）；水陆两用坦克
bulge,"n. 胀；膨胀；凸出部分
vt. 使膨胀；使凸起
vi. 膨胀；凸出"
bulwark,"n. 壁垒；保障；防波堤
vt. 保护；筑垒保卫"
bun,"n. 小圆面包
屁股
圆髻"
bunk,"n. 铺位；床铺；座床
vt. 为…提供铺位；逃课
vi. 睡在铺上；逃跑"
burrow,"n. （兔、狐等的）洞穴，地道；藏身处，住处
vt. 挖掘，挖出；在…挖洞（或通道）；使躲入洞穴
vi. 探索，寻找；挖地洞，挖通道；住入地洞，躲藏起来；钻进某处；偎依著"
bushel,"n. 蒲式耳
vt. 修整（衣服等）"
butt,"n. 屁股；烟头；笑柄；靶垛；粗大的一端
vt. 以头抵撞；碰撞"
by-product,n. 副产品；附带产生的结果；意外收获
cadre,n. 干部；基础结构；骨骼
caliber,n.  口径；才干；水准（等于calibre）；器量
calligraphy,n. 书法；笔迹
candidacy,n. 候选资格；候选状态
canyon,n. 峡谷
capacitance,n.  电容；电流容量
capacitor,n.  电容器
Capitol,n. 美国国会大厦；（美国）州议会大厦
carat,n. 克拉（等于karat）
caravan,"n. （可供居住的）拖车，大篷车；（穿过沙漠地带的）旅行队（如商队）；<英>活动住宅；<美>移民列车
vi. 乘拖车度假；参加旅行队旅行"
carcass,n. （人或动物的）尸体；残骸；（除脏去头备食用的）畜体
cardboard,"n.  硬纸板；纸板箱；卡纸板
adj. 不真实的；硬纸板制的"
caretaker,"n. 看管者；看门人；守护者
adj. 临时代理的"
cartel,n. 卡特尔；企业联合；垄断联盟；俘虏交换条约
carton,"n. 纸板箱；靶心白点
vt. 用盒包装
vi. 制作纸箱"
cartridge,弹药筒，打印机的（墨盒）； 暗盒；笔芯；一卷软片
catalyst,n.  催化剂；刺激因素
cauliflower,n. 花椰菜，菜花
cavalry,n. 骑兵；装甲兵；装甲部队
cedar,n. 雪松；香柏；西洋杉木
celestial,"n. 神仙，天堂里的居民
adj. 天上的，天空的"
cellulose,n. 纤维素；（植物的）细胞膜质
censor,"n. 检查员； 潜意识压抑力；信件检查员
vt. 审查，检查；检查和删节"
censorship,n. 审查制度；审查机构
cerebral,adj. 大脑的，脑的
chaff,"n. 糠；谷壳；无价值的东西
vi. 开玩笑；打趣
vt. 开玩笑；逗趣"
charcoal,"n. 木炭；炭笔
vt. 用木炭画（过去式charcoaled，过去分词charcoaled，现在分词charcoaling，第三人称单数charcoals）"
chauffeur,"n. 司机
vt. 开车运送
vi. 当汽车司机"
chemist,n. 化学家；化学工作者；药剂师；炼金术士
chestnut,"n. 栗子；栗色； 栗树；栗色马
adj. 栗色的"
chieftain,n. 酋长；首领
childish,adj. 幼稚的，孩子气的
chimpanzee,n.  黑猩猩
choir,"n. 唱诗班；合唱队；舞蹈队
vt. 合唱
vi. 合唱"
chromosome,n.  染色体（形容词chromosomal，副词chromosomally）
chrysanthemum,n. 菊花
chuck,vt. 丢弃，抛掷；驱逐；轻拍
circumference,n. 圆周；周长；胸围
clamor,"n. 喧闹，叫嚷；大声的要求
vt. 喧嚷着说出
vi. 喧嚷，发喧嚣声；持续地喊声"
clarification,n. 澄清，说明；净化
clatter,"n. 哗啦声；嘈杂的谈笑声；咔嗒声
vi. 发出哗啦声；喧闹的谈笑
vt. 使卡搭卡搭的响"
clown,"n. 小丑；乡下人；粗鲁笨拙的人
vi. 扮小丑；装傻"
cockpit,n. 驾驶员座舱；战场
coconut,n. 椰子；椰子肉
cocoon,"n. 茧；卵囊
vt. 把……紧紧包住"
coexist,vi. 共存；和平共处
coexistence,n. 共存；和平共处；并立
coffin,"n. 棺材
断送"
cognition,n. 认识；知识；认识能力
coherence,n. 一致；连贯性；凝聚
colloquial,adj. 白话的；通俗的；口语体的
collude,vi. 勾结；串通；共谋
colon,n.  结肠；冒号（用于引语、说明、例证等之前）；科郎（哥斯达黎加货币单位）
colonist,"n. 殖民者；殖民地居民；移民
adj. 殖民主义者的；奉行殖民主义的"
columnist,n. 专栏作家
comma,n. 逗号；停顿
commencement,n. 开始，发端；毕业典礼
computation,n. 估计，计算
conceptual,adj. 概念上的
concerto,n. 协奏曲
concurrent,"n.  共点；同时发生的事件
adj. 并发的；一致的；同时发生的"
condemnation,n. 谴责；定罪；非难的理由；征用
condenser,n. 冷凝器； 电容器； 聚光器
conductivity,n. 导电性； 传导性
cone,"n. 圆锥体，圆锥形； 球果
vt. 使成锥形"
confidant,n. 知己；密友
conjuncture,n. 事态；紧要关头；同时发生
conscribe,vt. 征召入伍
consign,vt. 交付；托运；寄存；把…委托给
constraint,n.  约束；局促，态度不自然；强制
consul,n. 领事；（古罗马的）两执政官之一
consulate,n. 领事；领事馆；领事任期；领事职位
consultative,adj. 咨询的
contagion,n. 传染病；蔓延；触染
contemplation,n. 沉思；注视；意图
contingent,"n. 分遣队；偶然事件；分得部分；代表团
adj. 因情况而异的；不一定的；偶然发生的；可能的；依情况而定的；偶然的；有条件的"
contractor,n. 承包人；立契约者
convent,n. 女修道院
converse,"n. 逆行，逆向；倒；相反的事物
adj. 相反的，逆向的；颠倒的
vi. 交谈，谈话；认识
n. 匡威（服装品牌）"
convoy,"n. 护送；护卫；护航队
vt. 护航；护送"
cookie,n. 饼干；小甜点
coral,"n. 珊瑚；珊瑚虫
adj. 珊瑚的；珊瑚色的"
cordiality,n. 热诚；真挚
corrosion,n. 腐蚀；腐蚀产生的物质；衰败
cosign,v. 联合署名，联署保证
cosmetic,"n. 化妆品；装饰品
adj. 美容的；化妆用的"
cosmopolitan,"n. 四海为家者；世界主义者；世界各地都有的东西
adj. 世界性的；世界主义的，四海一家的"
councilor,n. 顾问；评议员；参赞
coup,"n. 政变；妙计；出乎意料的行动；砰然的一击
vt. 使…颠倒；使…倾斜
vi. 推倒；倾斜；溢出"
cracker,n. 爆竹；饼干；胡桃钳；解密高手
cramp,"n. 痉挛，绞痛； 铁夹钳
adj. 狭窄的；难解的；受限制的
vt. 束缚，限制；使…抽筋；以铁箍扣紧"
crate,"n. 板条箱；篓
vt. 将某物装入大木箱或板条箱中"
crater,"n. 火山口；弹坑
vt. 在…上形成坑；取消；毁坏
vi. 形成坑；消亡"
crayon,"n. 蜡笔，有色粉笔
vt. 以蜡笔作画，用颜色粉笔画"
creak,"n. 嘎吱嘎吱声
vt. 使咯吱咯吱响
vi. 发出咯吱咯吱声；勉强运转"
creek,n. 小溪；小湾
cremate,vt. 火葬；烧成灰
crescent,找不到解释
crest,"n.  波峰；冠；山顶；顶饰
vi. 到达绝顶；形成浪峰"
crib,"n. 婴儿床；栅栏；食槽
vi. 剽窃
vt. 拘禁，关入栅栏；抄袭"
crimson,"n. 深红色
adj. 深红色的
vt. 使变为深红色；脸红
vi. 变为深红色；脸红"
crocodile,n. 鳄鱼
crucify,vt. 折磨；十字架上钉死；克制
cruiser,n. 巡洋舰；巡航飞机，警察巡逻车
crunch,"n. 咬碎，咬碎声；扎扎地踏
vt. 压碎；嘎扎嘎扎的咬嚼；扎扎地踏过
vi. 嘎吱作响地咀嚼；嘎吱嘎吱地踏过"
crutch,"n. 拐杖；支柱；依靠；胯部
vt. 用拐杖支撑；支持"
cub,"n. 幼兽；不懂规矩的年轻人
vi. 生育幼兽"
cuckoo,"n. 布谷鸟；杜鹃鸟；傻子；咕咕声
adj. 愚笨的；疯狂的
vt. 不停地重复
vi. 学杜鹃叫"
cult,n. 祭仪（尤其指宗教上的）；礼拜；狂热信徒
currently,adv. 当前；一般地
cutlery,n. 餐具；刀剑制造业
cutter,n. 刀具，切割机；切割者；裁剪者
cyberwall,找不到解释
cyclone,n. 旋风； 气旋；飓风
cylindrical,adj. 圆柱形的；圆柱体的
dagger,"n. 匕首，短剑
vt. 用剑刺"
datum,"n. 数据，资料
n. 基点，基线，基面； 论据，作为论据的事实
n. 已知数
n. （pl.）data"
daub,"n. 涂抹；涂料；拙劣的画
vt. 涂抹；乱画；弄脏
vi. 涂抹；乱画"
debris,n. 碎片，残骸
debtor,n. 债务人； 借方
debut,"n. 初次登台；开张
vi. 初次登台"
deceased,"n. 死者； 被继承人
adj. 已故的
vi. 死亡（decease的过去式）"
decency,n. 正派；体面；庄重；合乎礼仪；礼貌
decibel,n. 分贝
decided,"vt. 决定（decide的过去式）
adj. 明确的；显然的；坚决的，果断的"
decode,"vt. 译(密码文电等)，译(码)，解(码)等：；(尤指在学习过程中)把拼写和读音关系用于(阅读)
vi. 从事破译(或解译)工作"
deepen,"vt. 使加深；使强烈；使低沉
vi. 变深；变低沉"
degeneration,n. 退化； 变性；堕落；恶化
delegation,n. 代表团；授权；委托
delinquent,"n. 流氓；行为不良的人；失职者
adj. 有过失的；怠忽的；拖欠债务的"
democrat,n. 民主党人；民主主义者；民主政体论者
den,"n. 贼窝，私室；兽穴，窝巢；小房间
vt. 把……赶进洞穴
vi. 藏到洞里；住在肮脏简陋的小房间里"
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
deposition,n. 沉积物；矿床；革职；（在法庭上的）宣誓作证，证词
depot,"n. 仓库；停车场；航空站
adj. 药性持久的
vt. 把…存放在储藏处"
derivative,"n.  衍生物，派生物；导数
adj. 派生的；引出的"
detention,n. 拘留；延迟；挽留
detergent,n. 清洁剂；去垢剂
detour,"n. 绕道；便道
vt. 使…绕道而行
vi. 绕道；迂回"
deviation,n. 偏差；误差；背离
devotion,n. 献身，奉献；忠诚；热爱
diagnosis,n. 诊断
dice,"vt. 切成方块
n. 骰子
vi. 掷骰子"
dictator,n. 独裁者；命令者
diesel,"n. 柴油机；柴油；（俚）健康的身体
adj. 内燃机传动的；供内燃机用的
n. 迪赛（意大利时装品牌）"
